name,freq_in_corpus
Дорогомир,1.1215160489600042e-06
Любим,1.1215160489600042e-06
Хотян,1.1215160489600042e-06
Градимир,1.0280563782133372e-06
Грозан,1.0280563782133372e-06
Вір,9.345967074666703e-07
Красун,9.345967074666703e-07
Ясногор,9.345967074666703e-07
Боримир,8.411370367200033e-07
Гордислав,8.411370367200033e-07
Гремислав,8.411370367200033e-07
Ходота,8.411370367200033e-07
Вістан,7.476773659733363e-07
Вогнян,7.476773659733363e-07
Вукол,7.476773659733363e-07
Недан,7.476773659733363e-07
Світогор,7.476773659733363e-07
Сонцедар,7.476773659733363e-07
Творимир,7.476773659733363e-07
Горимир,6.542176952266692e-07
Градислав,6.542176952266692e-07
Білотур,5.607580244800021e-07
Вітомир,5.607580244800021e-07
Милан,5.607580244800021e-07
Милодух,5.607580244800021e-07
Наслав,5.607580244800021e-07
Радогост,5.607580244800021e-07
Світослав,5.607580244800021e-07
Хвалимир,5.607580244800021e-07
Яросвіт,5.607580244800021e-07
Будивид,4.6729835373333515e-07
Добролик,4.6729835373333515e-07
Живослав,4.6729835373333515e-07
Лоліт,4.6729835373333515e-07
Стоймир,4.6729835373333515e-07
Боронислав,3.7383868298666813e-07
Велемудр,3.7383868298666813e-07
Віродан,3.7383868298666813e-07
Єремій,3.7383868298666813e-07
Колодар,3.7383868298666813e-07
Листвич,3.7383868298666813e-07
Людомил,3.7383868298666813e-07
Мстивой,3.7383868298666813e-07
Остромов,3.7383868298666813e-07
Предислав,3.7383868298666813e-07
Роксолан,3.7383868298666813e-07
Світояр,3.7383868298666813e-07
Стародум,3.7383868298666813e-07
Білослав,2.8037901224000106e-07
Гострозір,2.8037901224000106e-07
Мстибог,2.8037901224000106e-07
Радивой,2.8037901224000106e-07
Яртур,2.8037901224000106e-07
Алевтин,1.8691934149333406e-07
Батко,1.8691934149333406e-07
Божейко,1.8691934149333406e-07
Витомир,1.8691934149333406e-07
Власт,1.8691934149333406e-07
Златомир,1.8691934149333406e-07
Злотан,1.8691934149333406e-07
Миробог,1.8691934149333406e-07
Остромисл,1.8691934149333406e-07
Святояр,1.8691934149333406e-07
Славобор,1.8691934149333406e-07
Хранимир,1.8691934149333406e-07
Яволод,1.8691934149333406e-07
Братомил,9.345967074666703e-08
Величар,9.345967074666703e-08
Вселюб,9.345967074666703e-08
Гатусил,9.345967074666703e-08
Держислав,9.345967074666703e-08
Добродум,9.345967074666703e-08
Зборислав,9.345967074666703e-08
Звенимир,9.345967074666703e-08
Земислав,9.345967074666703e-08
Любомисл,9.345967074666703e-08
Людислав,9.345967074666703e-08
Лютобор,9.345967074666703e-08
Лютомисл,9.345967074666703e-08
Непобор,9.345967074666703e-08
Перемил,9.345967074666703e-08
Радечко,9.345967074666703e-08
Радимир,9.345967074666703e-08
Світодар,9.345967074666703e-08
Синьоок,9.345967074666703e-08
Судимир,9.345967074666703e-08
Ярило,9.345967074666703e-08
Яромил,9.345967074666703e-08
Яснозір,9.345967074666703e-08
